Blog	how	we	making	started	made	web	was	long	over	past	year	i	make	people	something	d	been	while	but	as	so	many	just	too	put	off	which	what	did	years	end	took	search	new	bit	much	some	had	find	why	time	only	small	our	would	from	after	all	ve	always	found	important	say	no	could	product	or	be	different	though	didn	t	first	back	about	my	real	around	not	work	doing	last	these	have	use	their	there	enough	between	me	them	recently	one	learned	help	an	her	life	up	book	she	by	service	through	world	black	doesn	has	out	where	can	used	like	then	do	often	since	week	lot	during	apple	into	way	each	thing	page	things	seem	right	same	other	your	gets	know	best	someone	using	were	go	if	they	being	content	any	should	look	see	never	now	writing	special	here	support	space	part	start	before	place	still	ways	show	everyone	company	are	future	ll	get	want	down	post	reading	story	re	set	better	than	don	next	months	change	both	coming	may	feel	keep	will	might	come	seen	without	read	take	most	getting	least	few	well	based	data	think	who	isn	those	when	really	free	social	sure	self	let	shows	us	am	need	also	talk	big	ever	every	once	month	two	close	going	days	meet	email	love	former	won	good	day	play	very	far	others	online	ago	thought	great	idea	got	business	side	own	information	today	m	create	amazon	links	public	turn	full	users	live	google	design	blog	his	bad	become	times	having	does	later	against	away	because	he	case	problem	goes	even	fact	control	hard	facebook	another	happens	looking	com	media	america	called	him	latest	its	twitter	president	face	little	night	tell	school	makes	million	left	said	probably	several	interesting	line	party	everything	internet	money	maybe	sometimes	results	youtube	series	white	house	news	march	american	told	says	wednesday	old	trump	tuesday	morning	according	report	three	state	man	donald	security	site	pretty	appeared	game	photos	went	top	home	high	u	video	watch	tv	again
Mashable	10	7	5	1	2	6	29	3	6	0	7	16	2	12	5	4	4	8	17	23	12	4	10	1	1	2	6	5	3	3	3	2	0	12	0	2	2	6	0	3	6	7	0	6	0	17	4	6	1	1	2	1	2	5	6	2	7	17	0	0	2	14	7	2	39	10	1	0	12	6	0	5	6	10	4	13	0	0	2	0	1	0	18	0	1	16	9	5	9	0	5	15	4	1	6	1	3	10	8	1	8	2	7	1	5	2	1	2	0	3	5	5	4	2	2	0	2	2	6	0	2	4	2	2	2	0	3	7	0	4	8	2	0	2	2	0	18	3	11	1	3	9	3	6	0	1	2	1	4	0	3	3	9	18	1	3	5	0	1	0	0	2	4	0	3	6	3	4	0	0	1	0	8	0	1	9	0	3	1	0	30	4	3	2	0	2	3	3	4	2	11	1	1	10	5	0	2	0	0	0	2	7	0	0	21	0	3	0	2	4	2	0	0	1	1	2	0	1	5	0	4	4	0	4	4	0	2	1	1	8	0	0	1	1	5	2	0	5	1	5	0	0	2	1	1	3	1	0	0	18	0	1	1	3	1	0	4	1	5	12	2	1	1	2	5	6	1	4	3	1	1	5	1	1	2	3	2	16	17	3	2	6	0	1	14	4	4	3	2	2	0	2	0	2	3	1	1	0	0	1	0	2	0	0	7	9	0	1	1	10	3	5	1	0	5	2	2	0	2	3	0	0	2	0	1	2	2	0	2	5	3	11	2	4	0
The Viral Garden	60	48	4	14	8	1	94	8	15	2	19	340	20	68	9	5	11	8	80	88	62	25	21	6	4	5	19	44	13	6	5	10	3	21	8	6	17	40	9	21	26	16	5	7	31	44	8	34	20	6	10	4	6	19	8	2	38	78	3	5	14	86	23	20	48	68	3	7	23	17	13	12	25	61	20	72	38	5	2	57	50	6	40	5	10	43	5	2	23	0	2	24	5	4	4	1	2	13	27	18	42	1	27	23	40	9	3	5	14	5	1	9	27	5	17	7	6	2	7	16	19	70	1	22	7	14	30	36	14	61	90	21	15	8	16	2	22	10	19	5	1	25	2	6	7	4	11	3	14	6	5	10	13	104	2	17	21	34	2	43	8	2	4	0	10	10	15	9	7	3	6	11	14	2	3	47	5	8	3	2	10	7	23	6	5	26	12	0	0	32	16	6	12	38	10	6	135	11	4	8	2	16	25	8	10	1	12	3	10	3	1	8	6	10	10	5	3	2	0	11	17	17	2	23	1	9	9	5	11	13	18	10	12	1	24	4	4	19	10	0	9	0	2	3	10	3	0	0	48	8	3	10	1	2	5	5	0	3	38	17	8	6	2	19	5	0	0	14	9	2	10	31	123	2	5	3	2	11	61	0	0	3	3	11	1	4	0	10	13	12	9	5	3	0	0	0	3	4	7	5	0	9	0	0	1	3	0	3	0	1	2	0	0	0	2	0	3	1	1	0	0	12	4	0	1	0	7	4	0	1	0	0	0	1	3
NewsBusters	6	5	1	0	2	0	13	0	13	3	3	8	2	7	1	1	5	3	6	24	3	2	5	2	1	6	1	4	5	0	3	3	0	14	1	3	3	6	0	0	2	2	1	5	7	14	8	11	3	0	3	1	0	7	4	0	4	9	0	0	5	11	1	2	10	4	0	0	11	0	1	4	3	8	0	19	5	2	4	0	3	1	4	0	0	10	9	2	4	1	5	15	0	1	1	3	0	8	5	2	2	0	5	1	3	0	2	4	0	5	0	6	1	0	1	0	1	0	4	2	6	5	0	1	0	0	2	5	1	4	8	3	0	0	3	4	1	1	4	0	5	4	1	0	1	1	5	0	0	0	11	0	0	11	0	0	3	0	5	2	1	7	2	0	0	5	1	3	0	1	1	0	1	0	0	8	0	2	1	1	1	2	2	1	1	1	3	3	0	0	8	1	1	5	1	1	3	0	4	2	3	2	1	1	3	1	3	0	1	0	1	2	1	3	0	2	0	1	4	0	3	3	2	2	2	2	1	0	0	0	1	1	0	0	1	0	4	2	0	0	1	2	1	1	0	1	0	0	0	16	1	1	7	3	1	0	4	4	6	12	2	2	2	4	0	7	0	1	3	0	0	0	9	1	1	6	2	2	3	16	0	0	6	2	11	0	0	0	4	0	2	0	2	1	1	3	1	1	0	0	0	2	7	19	11	6	1	0	1	10	0	40	12	12	0	5	3	3	0	10	1	0	0	0	0	0	4	1	1	1	3	1	0	4	0
PaulStamatiou.com - Technology, Design and Photography	11	2	0	4	0	0	0	0	0	0	0	7	0	0	1	0	0	0	1	17	0	0	0	2	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	6	1	16	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	1	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	16	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	3	0	0	0	0	0	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0
O'Reilly Radar	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	1	0	0	0	1	0	0	0	6	2	6	0	0	1	0	0	3	2	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	2	1	0	0	2	0	0	0	0	0	3	0	0	1	0	1	1	0	2	0	0	0	4	0	0	1	2	1	1	1	0	0	0	0	0	2	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	3	1	0	0	0	1	0	0	1	0	7	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Seth Godin's Blog on marketing, tribes and respect	1	0	0	0	0	0	1	0	2	0	0	2	1	5	0	2	0	0	1	3	1	1	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	6	1	1	0	0	3	0	2	2	2	0	0	4	1	1	0	0	0	0	0	4	0	0	0	2	0	4	0	0	2	0	1	2	0	0	2	0	1	1	0	0	1	0	2	2	1	2	2	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	7	0	0	0	0	0	0	0	2	3	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	1	3	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	3	2	0	3	1	1	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slashdot	4	4	1	0	2	2	20	1	7	1	2	2	3	4	1	1	4	1	4	25	2	2	2	0	0	1	10	2	3	7	0	1	1	8	0	3	1	11	0	0	13	3	1	3	8	26	6	9	2	1	1	0	3	5	4	0	12	9	0	0	2	8	4	5	12	0	5	2	13	2	0	7	2	10	2	2	3	1	1	0	2	1	3	2	3	15	2	2	0	0	1	10	2	2	4	8	1	21	3	1	7	4	3	1	0	2	0	5	3	1	3	12	1	0	0	4	1	0	3	1	6	1	0	1	0	0	3	7	1	3	10	1	1	2	0	2	1	2	4	0	1	2	1	2	2	2	4	1	3	0	0	0	23	9	0	0	1	0	6	4	2	16	2	1	0	5	2	1	1	0	3	2	2	0	0	10	3	1	0	2	17	2	3	0	0	1	4	2	5	0	7	0	2	6	0	1	2	1	1	1	1	7	0	1	6	0	4	0	4	1	0	3	3	2	4	2	2	0	6	1	0	3	2	1	1	0	2	0	0	2	1	0	2	0	3	11	3	0	1	3	0	3	1	1	8	0	1	0	0	7	2	0	1	0	3	3	3	1	2	7	3	1	0	7	2	3	1	13	2	0	0	0	1	0	3	2	1	23	1	1	0	0	0	0	0	0	6	3	19	2	2	1	2	2	2	0	0	0	1	1	5	1	0	0	3	1	0	1	5	3	0	0	2	0	4	10	2	1	1	0	5	3	0	0	2	0	0	0	0	3	3	2	0	0	1
ThinkProgress	0	0	0	1	0	0	4	0	2	2	3	0	0	2	0	1	1	0	2	6	1	1	1	0	0	0	4	0	0	3	0	1	0	2	0	0	1	2	0	0	0	1	0	0	3	6	2	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	1	0	0	0	2	0	0	1	0	2	0	3	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	4	0	0	0	2	0	0	10	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	1	2	0	1	0	2	0	1	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	2	0	0	0	2	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	11	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	1	1	2	8	2	8	0	1	1	2	0	0	0	3	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0
The Dish	6	18	0	1	2	0	10	6	3	3	3	38	2	5	0	1	6	0	10	21	6	3	4	1	0	0	2	9	2	11	3	1	0	2	0	2	1	4	2	3	6	3	0	4	1	13	2	6	3	1	1	0	1	6	1	0	3	11	1	1	3	15	4	3	9	17	1	4	6	3	1	3	5	5	1	7	3	1	1	11	0	4	10	0	0	9	1	1	7	3	1	12	0	4	7	0	1	8	3	0	4	0	0	7	3	2	2	1	0	2	0	1	0	0	1	0	3	1	0	2	2	12	0	6	0	0	0	1	3	2	8	0	2	1	3	3	0	2	2	2	0	2	2	0	3	0	1	1	2	0	0	0	0	7	0	3	2	1	1	4	3	3	2	0	2	4	4	1	0	0	0	0	1	0	1	5	1	0	0	2	9	1	5	0	2	0	1	0	0	1	5	1	2	5	0	0	0	0	0	0	1	3	2	0	0	2	2	0	1	0	0	1	1	2	0	0	3	7	1	1	0	9	0	1	0	1	0	2	2	0	3	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	6	11	1	1	1	0	0	0	1	0	1	3	1	1	0	4	1	0	1	0	2	0	2	1	0	2	0	0	2	0	0	1	3	2	0	0	0	0	1	0	4	2	0	0	0	0	0	2	1	1	0	1	0	0	0	2	2	0	0	1	0	0	3	0	0	2	2	0	1	0	1	0	0	2	0	0	1	1	1	0	1	1	3	0	0	1	0
WIL WHEATON dot NET	23	42	4	3	17	0	63	7	9	3	9	429	11	27	11	26	26	8	64	31	58	5	41	10	5	5	12	32	10	16	3	8	0	7	6	18	17	12	3	7	15	11	1	8	15	19	9	28	20	8	1	3	13	8	8	0	34	32	5	8	23	94	11	17	45	97	4	12	37	4	9	7	8	45	2	11	23	5	0	118	13	1	15	1	6	23	4	11	36	2	10	13	1	10	6	2	8	18	28	4	38	3	45	14	28	0	8	1	10	0	0	24	26	1	14	0	9	0	16	3	5	11	1	24	9	4	2	20	18	25	21	6	1	10	1	6	20	9	21	2	0	17	0	6	4	5	13	8	8	1	5	5	0	38	4	8	19	19	12	4	2	2	12	7	4	8	19	5	2	3	1	3	4	22	4	17	0	10	3	4	3	6	4	3	3	12	5	2	3	12	41	11	7	23	16	4	1	1	1	4	1	8	33	11	5	5	7	7	9	4	0	7	6	13	4	1	0	15	0	2	7	14	7	6	2	0	3	6	2	4	3	11	1	2	7	4	7	47	5	0	0	1	0	0	1	4	0	1	7	17	6	3	4	3	7	9	0	7	36	60	2	0	4	12	0	1	1	1	8	0	2	0	1	0	0	27	0	4	2	0	3	24	1	13	2	4	0	4	8	6	3	1	2	2	9	1	1	15	0	0	2	1	2	1	3	0	0	2	8	0	5	0	0	3	0	2	6	1	1	0	0	0	2	0	9	2	6	1	2	1	0	0	0	1	6
43 Folders	60	67	11	2	28	10	84	21	29	8	14	469	45	54	23	45	31	10	93	123	75	20	70	14	3	13	45	73	13	16	7	2	0	28	7	37	28	26	10	32	46	22	2	35	20	34	10	58	40	20	1	13	21	37	24	4	105	96	7	2	8	128	29	25	105	188	19	10	120	59	16	13	24	74	11	19	33	15	3	82	22	1	47	3	30	45	17	32	45	25	29	101	3	7	13	1	18	28	44	20	85	6	68	25	74	19	5	11	39	2	1	21	36	13	33	4	55	4	24	9	22	83	13	40	14	7	8	16	21	59	48	17	1	38	16	5	18	26	41	4	5	28	3	1	17	11	13	7	20	5	4	8	2	50	8	37	50	26	9	2	13	6	48	3	27	36	46	3	4	13	8	1	15	7	10	53	16	5	1	12	43	10	41	11	11	13	24	2	3	31	70	0	27	30	77	8	1	10	9	17	0	21	14	21	27	22	25	26	12	4	2	10	2	7	7	2	11	15	0	10	26	16	6	29	7	4	1	3	10	14	6	2	8	4	13	6	13	47	0	1	2	1	5	7	5	8	2	10	5	28	6	12	3	11	5	5	4	7	57	39	3	15	10	50	9	3	16	1	10	3	2	17	2	1	3	12	0	9	4	0	5	28	5	17	0	5	0	2	14	8	2	2	3	0	12	3	5	14	15	2	0	0	0	2	1	2	2	6	13	0	10	0	0	7	0	0	3	0	7	1	0	2	11	0	2	0	2	2	6	0	0	14	6	4	10
456 Berea Street	4	2	2	0	0	4	6	1	4	0	0	30	5	3	0	3	3	2	9	5	6	4	1	2	0	0	4	2	0	1	0	0	0	0	2	0	5	1	1	2	0	1	2	0	0	4	3	3	3	1	1	1	0	2	1	0	9	6	5	0	1	11	0	0	2	3	0	0	4	1	1	0	1	8	9	3	6	1	0	2	2	0	3	0	2	4	0	0	2	0	0	3	0	1	0	0	1	3	1	1	6	2	3	1	5	2	2	0	1	0	0	1	1	2	0	0	1	0	0	1	0	1	1	0	1	0	3	3	1	4	1	2	1	3	0	6	4	1	1	1	0	2	1	0	1	0	2	0	0	2	0	0	0	6	0	0	2	1	4	14	0	0	0	3	0	6	4	0	0	1	1	0	5	0	1	5	0	1	1	1	10	1	3	1	3	0	4	0	5	3	1	3	1	7	3	0	0	1	0	0	0	0	0	3	1	0	0	2	2	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	2	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	12	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	1	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1
Autoblog	1	16	1	0	0	1	6	1	0	1	7	0	0	1	0	0	2	0	14	14	4	0	7	1	0	9	1	5	0	1	1	0	0	22	0	3	4	0	1	4	1	1	0	45	1	13	5	14	3	0	1	0	0	0	4	0	6	12	1	3	2	15	6	0	5	0	1	2	5	1	1	7	1	10	40	1	4	1	0	1	5	0	3	0	0	8	0	2	5	0	1	0	2	1	0	3	4	13	13	0	4	2	12	0	2	0	0	1	2	1	0	1	2	0	0	0	1	2	2	2	8	3	7	1	1	0	1	0	3	3	0	0	0	0	1	0	44	0	3	0	0	7	0	0	1	0	0	0	2	0	13	0	1	13	13	1	3	0	1	0	39	0	1	2	4	5	3	1	0	0	0	3	1	0	0	11	1	6	3	0	1	0	4	3	1	3	2	4	0	0	4	0	1	1	1	0	0	0	2	1	4	1	3	0	0	0	0	0	2	1	3	4	0	2	2	3	39	0	0	0	4	0	0	2	4	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	8	0	1	0	0	0	0	2	1	0	3	0	0	1	0	0	4	2	0	0	0	6	0	2	0	0	4	1	0	2	8	1	4	1	1	1	0	0	1	3	1	0	0	0	0	3	0	2	0	3	0	0	0	1	6	0	0	2	0	0	0	9	0	1	4	2	0	1	6	4	0	0	0	0	0	0	39	1	8	0	2	0	0	8	8	6	2	2
The Write News	0	0	0	0	0	1	4	0	0	0	2	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	3	3	0	0	0	0	0	5	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	1	0	0	0	1	4	2	1	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	1	4	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	1	0	1	1	0	0	10	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	11	0	1	0	3	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
blog maverick	1	8	0	1	0	0	3	2	0	0	2	11	0	1	0	0	2	1	2	1	0	0	0	0	0	0	1	2	0	0	0	2	0	1	0	0	3	1	4	1	2	0	0	3	1	3	0	2	0	0	0	2	0	3	0	0	4	2	0	0	0	4	0	2	2	4	2	0	5	0	0	0	0	6	1	1	4	0	0	2	1	0	3	0	0	1	0	0	1	0	0	4	0	1	0	0	0	1	2	0	1	0	2	1	3	0	0	2	0	0	3	2	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	2	3	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	0	0	1	0	0	0	0	0	0	1	1	4	2	0	0	0	0	0	2	2	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	2	0	3	0	1	1	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	4	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	3	2	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Boing Boing	7	20	2	0	4	0	27	4	5	2	7	25	3	6	2	0	10	2	24	14	10	2	9	3	3	8	11	5	0	5	2	2	0	3	0	5	6	7	2	1	7	3	1	10	4	20	2	12	5	0	1	3	2	10	4	0	7	19	2	1	0	15	8	5	13	5	3	1	15	2	2	4	6	33	3	20	9	3	2	5	7	2	8	2	2	13	13	0	13	1	4	16	3	2	7	0	0	24	10	7	10	0	8	2	10	2	3	5	1	2	0	5	3	3	1	3	0	0	6	0	5	9	0	4	2	4	1	7	4	8	28	6	5	4	3	1	1	4	7	0	0	3	1	2	1	1	4	0	3	0	3	1	1	22	2	0	5	1	5	4	0	5	5	1	0	6	6	2	3	1	1	0	1	0	0	8	1	3	0	2	1	7	4	2	1	2	2	1	0	1	11	1	2	16	3	4	7	3	2	3	0	8	4	3	4	0	2	2	2	1	3	4	0	3	2	0	0	4	1	1	8	4	0	3	2	0	8	3	1	4	2	4	1	1	2	0	8	5	0	0	0	2	0	0	1	0	1	0	0	33	2	1	3	1	2	0	10	2	8	19	1	2	3	7	3	3	1	13	5	1	2	1	5	2	3	1	0	10	5	3	0	3	0	3	6	2	0	2	9	1	1	0	4	1	2	3	0	0	1	0	1	2	2	3	1	1	2	7	3	0	6	3	2	0	6	4	2	2	6	0	2	0	1	0	0	2	3	2	4	7	3	1	2	1	2
BuzzMachine	0	7	0	0	0	0	1	2	3	0	0	20	2	3	0	0	1	1	2	4	5	2	2	2	0	0	0	8	0	1	1	0	1	3	0	0	0	2	0	0	0	1	2	9	1	5	0	4	1	1	0	0	1	3	2	0	1	6	0	1	1	4	17	2	4	3	3	2	13	0	0	0	1	3	1	0	2	0	1	1	2	0	2	0	2	0	0	0	1	0	0	5	0	1	0	0	0	1	0	0	4	0	0	0	4	0	1	0	0	0	1	1	0	0	1	0	1	0	3	0	0	0	0	1	0	0	0	1	0	0	6	0	3	0	0	0	2	0	3	0	0	3	0	0	0	2	1	0	0	2	0	0	0	4	1	1	2	5	1	15	0	0	0	0	3	0	0	0	0	0	0	1	1	0	1	5	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	2	0	2	0	0	1	2	0	1	0	1	4	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	1	0	1	2	0	0	0	1	0	0	0	4	0	0	2	0	1	0	0	0	2	0	0	0	0	0	2	0	0	2	1	2	0	0	2	0	0	8	0	0	2	0	5	0	1	0	0	2	1	0	0	0	0	0	1	2	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	19	0	2	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1
Captain's Quarters	1	1	0	1	0	0	1	0	1	1	0	3	0	0	0	0	2	1	1	4	0	0	0	1	0	1	0	0	3	2	0	0	0	0	0	0	1	3	0	0	1	1	0	0	1	3	3	0	0	0	0	0	0	1	0	0	0	4	0	0	1	1	2	2	3	2	0	0	3	1	0	0	0	2	1	6	0	0	1	2	0	0	2	0	0	1	1	0	1	0	1	4	0	1	1	0	0	7	4	0	1	0	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	4	0	0	0	2	0	1	2	1	0	0	0	0	1	5	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	3	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	1	6	1	1	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Copyblogger	10	4	0	0	0	0	0	0	1	0	0	16	0	3	0	1	0	1	3	0	3	0	0	0	0	2	1	4	0	1	0	0	0	3	1	0	3	1	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	10	0	0	6	3	0	0	0	2	10	1	6	9	0	0	3	3	0	1	0	4	1	0	1	1	0	5	1	0	1	3	0	4	1	1	2	3	0	3	0	1	1	1	0	1	1	0	1	0	4	0	3	0	0	3	0	0	0	2	3	0	0	0	1	1	0	0	2	8	0	2	0	2	0	1	0	1	1	0	6	1	1	0	0	0	1	4	0	0	0	0	2	1	1	0	0	2	0	1	0	2	0	2	1	2	0	10	0	0	3	0	0	1	0	0	0	0	0	0	1	1	0	0	3	0	0	1	10	1	3	0	0	0	0	0	0	3	1	0	0	2	5	3	1	1	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	4	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	1	0	0	2	2	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0
